step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
408,1.97209,0.51613,,
409,2.17786,0.48202,,
410,2.24901,0.46847,,
411,2.3411,0.47571,,
412,2.17782,0.48095,,
413,2.15289,0.5,,
414,2.33787,0.48058,,
415,2.22122,0.47087,,
416,2.17943,0.48741,,
417,2.12624,0.46862,,
418,2.26553,0.46464,,
419,2.5018,0.44397,,
420,2.06057,0.50437,,
421,1.95713,0.52705,,
422,1.92204,0.55518,,
423,1.88951,0.54469,,
424,2.37954,0.44941,,
425,2.15115,0.47796,,
426,1.97282,0.54513,,
427,1.98365,0.50665,,
428,2.17939,0.47714,,
429,2.31056,0.46322,,
430,2.12846,0.47509,,
431,2.35396,0.45,,
432,2.25264,0.46912,,
433,2.11441,0.52113,,
434,1.88002,0.54425,,
435,2.26604,0.47157,,
436,2.21142,0.48485,,
437,2.14937,0.4732,,
438,2.24802,0.46804,,
439,2.16882,0.50568,,
440,2.1007,0.50144,,
441,2.19383,0.48456,,
442,2.26629,0.47066,,
443,1.91534,0.52757,,
444,2.10842,0.48,,
445,2.19351,0.47849,,
446,2.19845,0.47416,,
447,1.81737,0.55193,,
448,1.91861,0.5325,,
449,2.31412,0.44561,,
450,1.97642,0.51255,,
451,1.94031,0.52419,,
452,2.1517,0.49508,,
453,1.94528,0.52695,,
454,2.44904,0.44643,,
455,2.40829,0.45749,,
456,2.0996,0.47593,,
457,2.30755,0.46911,,
458,2.33605,0.46067,,
459,2.27246,0.44881,,
460,2.05192,0.49537,,
461,2.41451,0.4636,,
462,2.19399,0.47694,,
463,1.90388,0.54214,,
464,2.03117,0.5045,,
465,2.00907,0.51269,,
466,1.77818,0.54608,,
467,2.06788,0.48819,,
468,2.15626,0.49222,,
469,2.24618,0.48695,,
470,2.13986,0.48812,,
471,1.99425,0.53109,,
472,2.05002,0.5023,,
473,2.16963,0.49075,,
474,1.87598,0.52057,,
475,2.00123,0.49456,,
476,1.74289,0.5773,,
477,13.65342,0.28827,,
478,1.97829,0.53922,,
479,2.37307,0.45686,,
480,2.30332,0.46683,,
481,2.12457,0.4957,,
482,2.07768,0.51647,,
483,1.87338,0.53108,,
484,1.83403,0.5477,,
485,1.83206,0.54499,,
486,1.84425,0.55104,,
487,2.27491,0.48485,,
488,2.30102,0.45208,,
489,2.26627,0.46192,,
490,2.09785,0.51513,,
491,2.01595,0.54283,,
492,2.00197,0.49835,,
493,2.0964,0.51635,,
494,1.93062,0.55172,,
495,2.21999,0.49395,,
496,2.32037,0.43908,,
497,1.92992,0.5368,,
498,2.37529,0.45546,,
499,1.93551,0.52411,,
500,2.05677,0.52046,,
501,2.13218,0.50028,,
502,2.12154,0.49197,,
503,2.08808,0.50526,,
504,2.05869,0.48934,,
505,1.5475,0.60104,,
506,1.73656,0.55459,,
507,1.35745,0.63382,,
508,1.69198,0.56711,,
509,1.77592,0.57303,,
510,1.63596,0.56954,,
511,1.80773,0.52689,,
512,1.56291,0.59436,,
513,1.92796,0.53465,,
514,1.62326,0.57297,,
515,2.18866,0.47279,,
516,1.47814,0.59974,,
517,1.46987,0.62398,,
518,1.89597,0.53998,,
519,1.85016,0.54763,,
520,1.85439,0.53381,,
521,1.2472,0.66265,,
522,2.26998,0.44644,,
523,1.48586,0.60118,,
524,1.87472,0.53275,,
525,1.77457,0.55456,,
526,2.04176,0.50256,,
527,1.53523,0.58379,,
528,1.82607,0.55958,,
529,1.65607,0.59989,,
530,1.65751,0.60662,,
531,1.67628,0.55223,,
532,1.35597,0.63604,,
533,1.82354,0.55334,,
534,1.49665,0.6101,,
535,1.69293,0.57353,,
536,1.63161,0.57447,,
537,1.95209,0.52663,,
538,1.53472,0.58259,,
539,1.72593,0.56774,,
540,1.76958,0.54627,,
541,1.59858,0.58745,,
542,1.433,0.61267,,
543,1.5139,0.61526,,
544,1.80035,0.5319,,
545,1.84205,0.55236,,
546,1.69125,0.57428,,
547,1.71692,0.55735,,
548,1.73747,0.56401,,
549,1.70326,0.54112,,
550,1.6193,0.5696,,
551,1.8685,0.52599,,
552,1.81696,0.53307,,
553,1.93012,0.49571,,
554,1.37139,0.63409,,
555,1.4432,0.63378,,
556,1.23415,0.67197,,
557,1.56989,0.58902,,
558,2.05266,0.49721,,
559,1.75128,0.56065,,
560,1.9242,0.51605,,
561,1.57747,0.60272,,
562,1.80313,0.53734,,
563,1.91496,0.5153,,
564,1.8087,0.54271,,
565,1.75708,0.55127,,
566,1.63891,0.55841,,
567,1.9131,0.52065,,
568,1.81205,0.52872,,
569,1.74239,0.55003,,
570,1.35481,0.66304,,
571,1.75273,0.55085,,
572,1.67195,0.57929,,
573,1.61164,0.59179,,
574,1.85995,0.54236,,
575,1.82408,0.53853,,
576,1.48874,0.5927,,
577,2.16818,0.48091,,
578,1.864,0.53063,,
579,1.72442,0.53412,,
580,1.60546,0.57934,,
581,1.53167,0.60742,,
582,2.16094,0.4857,,
583,1.88628,0.51381,,
584,1.75314,0.57998,,
585,1.75226,0.54571,,
586,1.67128,0.57907,,
587,1.62387,0.58216,,
588,1.57884,0.58454,,
589,1.48402,0.62734,,
590,1.64112,0.57179,,
591,1.49056,0.62241,,
592,1.53637,0.61386,,
593,1.62192,0.61581,,
594,1.82178,0.54014,,
595,2.12499,0.5028,,
596,1.71762,0.55733,,
597,1.68161,0.59138,,
598,1.41448,0.6452,,
599,1.47263,0.61167,,
600,1.77313,0.5651,,
601,2.00929,0.50378,,
602,1.82458,0.54795,,
603,1.57032,0.60383,,
604,1.6438,0.56701,,
605,1.43959,0.61919,,
606,1.69415,0.57518,,
607,1.40242,0.62424,,
608,0.95547,0.74881,,
609,1.93875,0.52739,,
610,1.42451,0.63494,,
611,1.53645,0.60077,,
